"Notes"	"Single-Year Ages"	"Single-Year Ages Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"4 years"	"4"	"2020"	"2020"	551	4017847	13.7
	"4 years"	"4"	"2021"	"2021"	629	3935738	16.0
	"4 years"	"4"	"2022 (provisional)"	"2022"	646	3935738	16.4
	"4 years"	"4"	"2023 (provisional and partial)"	"2023"	523	3935738	13.3
"Total"	"4 years"	"4"			3515	23889552	14.7
	"5 years"	"5"	"2018"	"2018"	524	4010118	13.1
	"5 years"	"5"	"2019"	"2019"	536	4028281	13.3
	"5 years"	"5"	"2020"	"2020"	516	4054336	12.7
	"5 years"	"5"	"2021"	"2021"	540	4040153	13.4
	"5 years"	"5"	"2022 (provisional)"	"2022"	624	4040153	15.4
	"5 years"	"5"	"2023 (provisional and partial)"	"2023"	519	4040153	12.8
"Total"	"5 years"	"5"			3259	24213194	13.5
	"6 years"	"6"	"2018"	"2018"	460	4015259	11.5
	"6 years"	"6"	"2019"	"2019"	490	4017227	12.2
	"6 years"	"6"	"2020"	"2020"	450	4040169	11.1
	"6 years"	"6"	"2021"	"2021"	517	4076629	12.7
	"6 years"	"6"	"2022 (provisional)"	"2022"	532	4076629	13.0
	"6 years"	"6"	"2023 (provisional and partial)"	"2023"	420	4076629	10.3
"Total"	"6 years"	"6"			2869	24302542	11.8
	"7 years"	"7"	"2018"	"2018"	419	4059363	10.3
	"7 years"	"7"	"2019"	"2019"	439	4022319	10.9
	"7 years"	"7"	"2020"	"2020"	441	4029753	10.9
	"7 years"	"7"	"2021"	"2021"	470	4064596	11.6
	"7 years"	"7"	"2022 (provisional)"	"2022"	461	4064596	11.3
	"7 years"	"7"	"2023 (provisional and partial)"	"2023"	391	4064596	9.6
"Total"	"7 years"	"7"			2621	24305223	10.8
	"8 years"	"8"	"2018"	"2018"	457	4055624	11.3
	"8 years"	"8"	"2019"	"2019"	435	4066194	10.7
	"8 years"	"8"	"2020"	"2020"	405	4034785	10.0
	"8 years"	"8"	"2021"	"2021"	437	4051555	10.8
	"8 years"	"8"	"2022 (provisional)"	"2022"	486	4051555	12.0
	"8 years"	"8"	"2023 (provisional and partial)"	"2023"	390	4051555	9.6
"Total"	"8 years"	"8"			2610	24311268	10.7
	"9 years"	"9"	"2018"	"2018"	470	4055278	11.6
	"9 years"	"9"	"2019"	"2019"	433	4061874	10.7
	"9 years"	"9"	"2020"	"2020"	398	4078668	9.8
	"9 years"	"9"	"2021"	"2021"	442	4058615	10.9
	"9 years"	"9"	"2022 (provisional)"	"2022"	464	4058615	11.4
	"9 years"	"9"	"2023 (provisional and partial)"	"2023"	400	4058615	9.9
"Total"	"9 years"	"9"			2607	24371665	10.7
	"10 years"	"10"	"2018"	"2018"	471	4184077	11.3
	"10 years"	"10"	"2019"	"2019"	480	4060940	11.8
	"10 years"	"10"	"2020"	"2020"	456	4074173	11.2
	"10 years"	"10"	"2021"	"2021"	494	4103489	12.0
	"10 years"	"10"	"2022 (provisional)"	"2022"	486	4103489	11.8
	"10 years"	"10"	"2023 (provisional and partial)"	"2023"	392	4103489	9.6
"Total"	"10 years"	"10"			2779	24629657	11.3
	"11 years"	"11"	"2018"	"2018"	494	4203007	11.8
	"11 years"	"11"	"2019"	"2019"	536	4189261	12.8
	"11 years"	"11"	"2020"	"2020"	526	4072994	12.9
	"11 years"	"11"	"2021"	"2021"	523	4189406	12.5
	"11 years"	"11"	"2022 (provisional)"	"2022"	556	4189406	13.3
	"11 years"	"11"	"2023 (provisional and partial)"	"2023"	452	4189406	10.8
"Total"	"11 years"	"11"			3087	25033480	12.3
	"12 years"	"12"	"2018"	"2018"	589	4168485	14.1
	"12 years"	"12"	"2019"	"2019"	601	4208387	14.3
	"12 years"	"12"	"2020"	"2020"	617	4200977	14.7
	"12 years"	"12"	"2021"	"2021"	603	4279315	14.1
	"12 years"	"12"	"2022 (provisional)"	"2022"	654	4279315	15.3
	"12 years"	"12"	"2023 (provisional and partial)"	"2023"	520	4279315	12.2
"Total"	"12 years"	"12"			3584	25415794	14.1
	"13 years"	"13"	"2018"	"2018"	676	4156887	16.3
	"13 years"	"13"	"2019"	"2019"	687	4175221	16.5
	"13 years"	"13"	"2020"	"2020"	800	4219921	19.0
	"13 years"	"13"	"2021"	"2021"	855	4442581	19.2
	"13 years"	"13"	"2022 (provisional)"	"2022"	826	4442581	18.6
	"13 years"	"13"	"2023 (provisional and partial)"	"2023"	687	4442581	15.5
"Total"	"13 years"	"13"			4531	25879772	17.5
	"14 years"	"14"	"2018"	"2018"	890	4167071	21.4
	"14 years"	"14"	"2019"	"2019"	860	4164459	20.7
	"14 years"	"14"	"2020"	"2020"	1014	4186358	24.2
	"14 years"	"14"	"2021"	"2021"	1094	4432993	24.7
	"14 years"	"14"	"2022 (provisional)"	"2022"	1149	4432993	25.9
	"14 years"	"14"	"2023 (provisional and partial)"	"2023"	916	4432993	20.7
"Total"	"14 years"	"14"			5923	25816867	22.9
	"15 years"	"15"	"2018"	"2018"	1186	4141218	28.6
	"15 years"	"15"	"2019"	"2019"	1137	4175459	27.2
	"15 years"	"15"	"2020"	"2020"	1332	4175920	31.9
	"15 years"	"15"	"2021"	"2021"	1405	4355926	32.3
	"15 years"	"15"	"2022 (provisional)"	"2022"	1460	4355926	33.5
	"15 years"	"15"	"2023 (provisional and partial)"	"2023"	1317	4355926	30.2
"Total"	"15 years"	"15"			7837	25560375	30.7
	"16 years"	"16"	"2018"	"2018"	1493	4130744	36.1
	"16 years"	"16"	"2019"	"2019"	1485	4150420	35.8
	"16 years"	"16"	"2020"	"2020"	1793	4187874	42.8
	"16 years"	"16"	"2021"	"2021"	1944	4310462	45.1
	"16 years"	"16"	"2022 (provisional)"	"2022"	1916	4310462	44.4
	"16 years"	"16"	"2023 (provisional and partial)"	"2023"	1769	4310462	41.0
"Total"	"16 years"	"16"			10400	25400424	40.9
	"17 years"	"17"	"2018"	"2018"	2028	4241936	47.8
	"17 years"	"17"	"2019"	"2019"	1886	4142425	45.5
	"17 years"	"17"	"2020"	"2020"	2229	4164893	53.5
	"17 years"	"17"	"2021"	"2021"	2594	4333375	59.9
	"17 years"	"17"	"2022 (provisional)"	"2022"	2547	4333375	58.8
	"17 years"	"17"	"2023 (provisional and partial)"	"2023"	2115	4333375	48.8
"Total"	"17 years"	"17"			13399	25549379	52.4
	"18 years"	"18"	"2018"	"2018"	2701	4319722	62.5
	"18 years"	"18"	"2019"	"2019"	2732	4255827	64.2
	"18 years"	"18"	"2020"	"2020"	3159	4159857	75.9
	"18 years"	"18"	"2021"	"2021"	3471	4292780	80.9
	"18 years"	"18"	"2022 (provisional)"	"2022"	3230	4292780	75.2
	"18 years"	"18"	"2023 (provisional and partial)"	"2023"	2715	4292780	63.2
"Total"	"18 years"	"18"			18008	25613746	70.3
	"19 years"	"19"	"2018"	"2018"	2972	4263601	69.7
	"19 years"	"19"	"2019"	"2019"	3018	4330439	69.7
	"19 years"	"19"	"2020"	"2020"	3765	4272385	88.1
	"19 years"	"19"	"2021"	"2021"	3993	4272123	93.5
	"19 years"	"19"	"2022 (provisional)"	"2022"	3591	4272123	84.1
	"19 years"	"19"	"2023 (provisional and partial)"	"2023"	3005	4272123	70.3
"Total"	"19 years"	"19"			20344	25682794	79.2
	"20 years"	"20"	"2018"	"2018"	3273	4273822	76.6
	"20 years"	"20"	"2019"	"2019"	3313	4269683	77.6
	"20 years"	"20"	"2020"	"2020"	3983	4344572	91.7
	"20 years"	"20"	"2021"	"2021"	4263	4346679	98.1
	"20 years"	"20"	"2022 (provisional)"	"2022"	3890	4346679	89.5
	"20 years"	"20"	"2023 (provisional and partial)"	"2023"	3139	4346679	72.2
"Total"	"20 years"	"20"			21861	25928114	84.3
	"21 years"	"21"	"2018"	"2018"	3721	4292514	86.7
	"21 years"	"21"	"2019"	"2019"	3821	4278323	89.3
	"21 years"	"21"	"2020"	"2020"	4576	4283150	106.8
	"21 years"	"21"	"2021"	"2021"	4778	4347378	109.9
	"21 years"	"21"	"2022 (provisional)"	"2022"	4261	4347378	98.0
	"21 years"	"21"	"2023 (provisional and partial)"	"2023"	3434	4347378	79.0
"Total"	"21 years"	"21"			24591	25896121	95.0
	"22 years"	"22"	"2018"	"2018"	3960	4334743	91.4
	"22 years"	"22"	"2019"	"2019"	3882	4298772	90.3
	"22 years"	"22"	"2020"	"2020"	4685	4293020	109.1
	"22 years"	"22"	"2021"	"2021"	5066	4278923	118.4
	"22 years"	"22"	"2022 (provisional)"	"2022"	4534	4278923	106.0
	"22 years"	"22"	"2023 (provisional and partial)"	"2023"	3690	4278923	86.2
"Total"	"22 years"	"22"			25817	25763304	100.2
	"23 years"	"23"	"2018"	"2018"	4252	4438724	95.8
	"23 years"	"23"	"2019"	"2019"	4146	4341644	95.5
	"23 years"	"23"	"2020"	"2020"	5032	4315220	116.6
	"23 years"	"23"	"2021"	"2021"	5212	4271130	122.0
	"23 years"	"23"	"2022 (provisional)"	"2022"	4797	4271130	112.3
	"23 years"	"23"	"2023 (provisional and partial)"	"2023"	3788	4271130	88.7
"Total"	"23 years"	"23"			27227	25908978	105.1
	"24 years"	"24"	"2018"	"2018"	4568	4533776	100.8
	"24 years"	"24"	"2019"	"2019"	4351	4444518	97.9
	"24 years"	"24"	"2020"	"2020"	5262	4358793	120.7
	"24 years"	"24"	"2021"	"2021"	5581	4279887	130.4
	"24 years"	"24"	"2022 (provisional)"	"2022"	5004	4279887	116.9
	"24 years"	"24"	"2023 (provisional and partial)"	"2023"	3984	4279887	93.1
"Total"	"24 years"	"24"			28750	26176748	109.8
	"25 years"	"25"	"2018"	"2018"	4844	4606281	105.2
	"25 years"	"25"	"2019"	"2019"	4752	4539058	104.7
	"25 years"	"25"	"2020"	"2020"	5706	4461006	127.9
	"25 years"	"25"	"2021"	"2021"	6028	4309146	139.9
	"25 years"	"25"	"2022 (provisional)"	"2022"	5390	4309146	125.1
	"25 years"	"25"	"2023 (provisional and partial)"	"2023"	4148	4309146	96.3
"Total"	"25 years"	"25"			30868	26533783	116.3
	"26 years"	"26"	"2018"	"2018"	5230	4728714	110.6
	"26 years"	"26"	"2019"	"2019"	5086	4611220	110.3
	"26 years"	"26"	"2020"	"2020"	5962	4555511	130.9
	"26 years"	"26"	"2021"	"2021"	6477	4387353	147.6
	"26 years"	"26"	"2022 (provisional)"	"2022"	5747	4387353	131.0
	"26 years"	"26"	"2023 (provisional and partial)"	"2023"	4422	4387353	100.8
"Total"	"26 years"	"26"			32924	27057504	121.7
	"27 years"	"27"	"2018"	"2018"	5699	4813980	118.4
	"27 years"	"27"	"2019"	"2019"	5383	4733869	113.7
	"27 years"	"27"	"2020"	"2020"	6533	4628618	141.1
	"27 years"	"27"	"2021"	"2021"	6961	4481186	155.3
	"27 years"	"27"	"2022 (provisional)"	"2022"	6189	4481186	138.1
	"27 years"	"27"	"2023 (provisional and partial)"	"2023"	4780	4481186	106.7
"Total"	"27 years"	"27"			35545	27620025	128.7
	"28 years"	"28"	"2018"	"2018"	5829	4801711	121.4
	"28 years"	"28"	"2019"	"2019"	5757	4818725	119.5
	"28 years"	"28"	"2020"	"2020"	6970	4751001	146.7
	"28 years"	"28"	"2021"	"2021"	7525	4554775	165.2
	"28 years"	"28"	"2022 (provisional)"	"2022"	6588	4554775	144.6
	"28 years"	"28"	"2023 (provisional and partial)"	"2023"	5129	4554775	112.6
"Total"	"28 years"	"28"			37798	28035762	134.8
	"29 years"	"29"	"2018"	"2018"	5859	4611070	127.1
	"29 years"	"29"	"2019"	"2019"	5991	4806144	124.7
	"29 years"	"29"	"2020"	"2020"	7525	4835107	155.6
	"29 years"	"29"	"2021"	"2021"	8204	4660017	176.1
	"29 years"	"29"	"2022 (provisional)"	"2022"	7379	4660017	158.3
	"29 years"	"29"	"2023 (provisional and partial)"	"2023"	5488	4660017	117.8
"Total"	"29 years"	"29"			40446	28232372	143.3
	"30 years"	"30"	"2018"	"2018"	6100	4501282	135.5
	"30 years"	"30"	"2019"	"2019"	6183	4614384	134.0
	"30 years"	"30"	"2020"	"2020"	7906	4821081	164.0
	"30 years"	"30"	"2021"	"2021"	8746	4730811	184.9
	"30 years"	"30"	"2022 (provisional)"	"2022"	7791	4730811	164.7
	"30 years"	"30"	"2023 (provisional and partial)"	"2023"	6008	4730811	127.0
"Total"	"30 years"	"30"			42734	28129180	151.9
	"31 years"	"31"	"2018"	"2018"	5959	4421549	134.8
	"31 years"	"31"	"2019"	"2019"	6225	4502311	138.3
	"31 years"	"31"	"2020"	"2020"	7944	4627340	171.7
	"31 years"	"31"	"2021"	"2021"	9187	4745375	193.6
	"31 years"	"31"	"2022 (provisional)"	"2022"	8270	4745375	174.3
	"31 years"	"31"	"2023 (provisional and partial)"	"2023"	6514	4745375	137.3
"Total"	"31 years"	"31"			44099	27787325	158.7
	"32 years"	"32"	"2018"	"2018"	6299	4433749	142.1
	"32 years"	"32"	"2019"	"2019"	6263	4421505	141.6
	"32 years"	"32"	"2020"	"2020"	8049	4514736	178.3
	"32 years"	"32"	"2021"	"2021"	9477	4612291	205.5
	"32 years"	"32"	"2022 (provisional)"	"2022"	8848	4612291	191.8
	"32 years"	"32"	"2023 (provisional and partial)"	"2023"	6881	4612291	149.2
"Total"	"32 years"	"32"			45817	27206863	168.4
	"33 years"	"33"	"2018"	"2018"	6478	4461246	145.2
	"33 years"	"33"	"2019"	"2019"	6683	4432973	150.8
	"33 years"	"33"	"2020"	"2020"	8345	4432699	188.3
	"33 years"	"33"	"2021"	"2021"	9727	4531756	214.6
	"33 years"	"33"	"2022 (provisional)"	"2022"	9092	4531756	200.6
	"33 years"	"33"	"2023 (provisional and partial)"	"2023"	7343	4531756	162.0
"Total"	"33 years"	"33"			47668	26922186	177.1
	"34 years"	"34"	"2018"	"2018"	6547	4318192	151.6
	"34 years"	"34"	"2019"	"2019"	6855	4460132	153.7
	"34 years"	"34"	"2020"	"2020"	8546	4442547	192.4
	"34 years"	"34"	"2021"	"2021"	9942	4482395	221.8
	"34 years"	"34"	"2022 (provisional)"	"2022"	9069	4482395	202.3
	"34 years"	"34"	"2023 (provisional and partial)"	"2023"	7339	4482395	163.7
"Total"	"34 years"	"34"			48298	26668056	181.1
	"35 years"	"35"	"2018"	"2018"	7090	4376401	162.0
	"35 years"	"35"	"2019"	"2019"	6998	4315866	162.1
	"35 years"	"35"	"2020"	"2020"	8785	4466747	196.7
	"35 years"	"35"	"2021"	"2021"	10459	4492867	232.8
	"35 years"	"35"	"2022 (provisional)"	"2022"	9126	4492867	203.1
	"35 years"	"35"	"2023 (provisional and partial)"	"2023"	7588	4492867	168.9
"Total"	"35 years"	"35"			50046	26637615	187.9
	"36 years"	"36"	"2018"	"2018"	7205	4366923	165.0
	"36 years"	"36"	"2019"	"2019"	7326	4372444	167.5
	"36 years"	"36"	"2020"	"2020"	9051	4319361	209.5
	"36 years"	"36"	"2021"	"2021"	10777	4490254	240.0
	"36 years"	"36"	"2022 (provisional)"	"2022"	9817	4490254	218.6
	"36 years"	"36"	"2023 (provisional and partial)"	"2023"	7604	4490254	169.3
"Total"	"36 years"	"36"			51780	26529490	195.2
	"37 years"	"37"	"2018"	"2018"	7463	4313086	173.0
	"37 years"	"37"	"2019"	"2019"	7692	4361286	176.4
	"37 years"	"37"	"2020"	"2020"	9771	4374441	223.4
	"37 years"	"37"	"2021"	"2021"	10989	4397037	249.9
	"37 years"	"37"	"2022 (provisional)"	"2022"	10185	4397037	231.6
	"37 years"	"37"	"2023 (provisional and partial)"	"2023"	8165	4397037	185.7
"Total"	"37 years"	"37"			54265	26239924	206.8
	"38 years"	"38"	"2018"	"2018"	7835	4391406	178.4
	"38 years"	"38"	"2019"	"2019"	8177	4305576	189.9
	"38 years"	"38"	"2020"	"2020"	9872	4362662	226.3
	"38 years"	"38"	"2021"	"2021"	11785	4463130	264.1
	"38 years"	"38"	"2022 (provisional)"	"2022"	10269	4463130	230.1
	"38 years"	"38"	"2023 (provisional and partial)"	"2023"	8464	4463130	189.6
"Total"	"38 years"	"38"			56402	26449034	213.2
	"39 years"	"39"	"2018"	"2018"	8024	4115771	195.0
	"39 years"	"39"	"2019"	"2019"	8445	4382349	192.7
	"39 years"	"39"	"2020"	"2020"	10602	4305093	246.3
	"39 years"	"39"	"2021"	"2021"	12393	4456030	278.1
	"39 years"	"39"	"2022 (provisional)"	"2022"	11072	4456030	248.5
	"39 years"	"39"	"2023 (provisional and partial)"	"2023"	8636	4456030	193.8
"Total"	"39 years"	"39"			59172	26171303	226.1
	"40 years"	"40"	"2018"	"2018"	7907	4031314	196.1
	"40 years"	"40"	"2019"	"2019"	8639	4105313	210.4
	"40 years"	"40"	"2020"	"2020"	10945	4378957	249.9
	"40 years"	"40"	"2021"	"2021"	12868	4391796	293.0
	"40 years"	"40"	"2022 (provisional)"	"2022"	11515	4391796	262.2
	"40 years"	"40"	"2023 (provisional and partial)"	"2023"	9438	4391796	214.9
"Total"	"40 years"	"40"			61312	25690972	238.7
	"41 years"	"41"	"2018"	"2018"	8185	3986156	205.3
	"41 years"	"41"	"2019"	"2019"	8456	4020254	210.3
	"41 years"	"41"	"2020"	"2020"	11118	4100150	271.2
	"41 years"	"41"	"2021"	"2021"	13430	4372860	307.1
	"41 years"	"41"	"2022 (provisional)"	"2022"	11991	4372860	274.2
	"41 years"	"41"	"2023 (provisional and partial)"	"2023"	9669	4372860	221.1
"Total"	"41 years"	"41"			62849	25225140	249.2
	"42 years"	"42"	"2018"	"2018"	8293	3866067	214.5
	"42 years"	"42"	"2019"	"2019"	8791	3974741	221.2
	"42 years"	"42"	"2020"	"2020"	10991	4014287	273.8
	"42 years"	"42"	"2021"	"2021"	13741	4193750	327.7
	"42 years"	"42"	"2022 (provisional)"	"2022"	12295	4193750	293.2
	"42 years"	"42"	"2023 (provisional and partial)"	"2023"	10004	4193750	238.5
"Total"	"42 years"	"42"			64115	24436345	262.4
	"43 years"	"43"	"2018"	"2018"	8902	3979609	223.7
	"43 years"	"43"	"2019"	"2019"	8928	3854040	231.7
	"43 years"	"43"	"2020"	"2020"	11538	3967810	290.8
	"43 years"	"43"	"2021"	"2021"	14013	4099002	341.9
	"43 years"	"43"	"2022 (provisional)"	"2022"	12464	4099002	304.1
	"43 years"	"43"	"2023 (provisional and partial)"	"2023"	10451	4099002	255.0
"Total"	"43 years"	"43"			66296	24098465	275.1
	"44 years"	"44"	"2018"	"2018"	9476	3851155	246.1
	"44 years"	"44"	"2019"	"2019"	9534	3967275	240.3
	"44 years"	"44"	"2020"	"2020"	11817	3846684	307.2
	"44 years"	"44"	"2021"	"2021"	14484	4047128	357.9
	"44 years"	"44"	"2022 (provisional)"	"2022"	12862	4047128	317.8
	"44 years"	"44"	"2023 (provisional and partial)"	"2023"	10693	4047128	264.2
"Total"	"44 years"	"44"			68866	23806498	289.3
	"45 years"	"45"	"2018"	"2018"	10509	3904041	269.2
	"45 years"	"45"	"2019"	"2019"	10170	3837909	265.0
	"45 years"	"45"	"2020"	"2020"	12743	3957972	322.0
	"45 years"	"45"	"2021"	"2021"	14688	3908305	375.8
	"45 years"	"45"	"2022 (provisional)"	"2022"	13169	3908305	336.9
	"45 years"	"45"	"2023 (provisional and partial)"	"2023"	10871	3908305	278.2
"Total"	"45 years"	"45"			72150	23424837	308.0
	"46 years"	"46"	"2018"	"2018"	11925	4074459	292.7
	"46 years"	"46"	"2019"	"2019"	11198	3889372	287.9
	"46 years"	"46"	"2020"	"2020"	13429	3826694	350.9
	"46 years"	"46"	"2021"	"2021"	16035	3951786	405.8
	"46 years"	"46"	"2022 (provisional)"	"2022"	13342	3951786	337.6
	"46 years"	"46"	"2023 (provisional and partial)"	"2023"	11171	3951786	282.7
"Total"	"46 years"	"46"			77100	23645883	326.1
	"47 years"	"47"	"2018"	"2018"	13249	4301318	308.0
	"47 years"	"47"	"2019"	"2019"	12579	4058038	310.0
	"47 years"	"47"	"2020"	"2020"	14763	3876923	380.8
	"47 years"	"47"	"2021"	"2021"	16611	3875209	428.6
	"47 years"	"47"	"2022 (provisional)"	"2022"	14613	3875209	377.1
	"47 years"	"47"	"2023 (provisional and partial)"	"2023"	11312	3875209	291.9
"Total"	"47 years"	"47"			83127	23861906	348.4
	"48 years"	"48"	"2018"	"2018"	14182	4349714	326.0
	"48 years"	"48"	"2019"	"2019"	14385	4282657	335.9
	"48 years"	"48"	"2020"	"2020"	16683	4043448	412.6
	"48 years"	"48"	"2021"	"2021"	18350	3927492	467.2
	"48 years"	"48"	"2022 (provisional)"	"2022"	15297	3927492	389.5
	"48 years"	"48"	"2023 (provisional and partial)"	"2023"	11962	3927492	304.6
"Total"	"48 years"	"48"			90859	24458295	371.5
	"49 years"	"49"	"2018"	"2018"	15008	4117603	364.5
	"49 years"	"49"	"2019"	"2019"	15407	4329775	355.8
	"49 years"	"49"	"2020"	"2020"	18813	4265569	441.0
	"49 years"	"49"	"2021"	"2021"	20460	4118718	496.8
	"49 years"	"49"	"2022 (provisional)"	"2022"	16713	4118718	405.8
	"49 years"	"49"	"2023 (provisional and partial)"	"2023"	12818	4118718	311.2
"Total"	"49 years"	"49"			99219	25069101	395.8
	"50 years"	"50"	"2018"	"2018"	15823	4026474	393.0
	"50 years"	"50"	"2019"	"2019"	16151	4096572	394.3
	"50 years"	"50"	"2020"	"2020"	20160	4310670	467.7
	"50 years"	"50"	"2021"	"2021"	23482	4366085	537.8
	"50 years"	"50"	"2022 (provisional)"	"2022"	18714	4366085	428.6
	"50 years"	"50"	"2023 (provisional and partial)"	"2023"	13899	4366085	318.3
"Total"	"50 years"	"50"			108229	25531971	423.9
	"51 years"	"51"	"2018"	"2018"	17543	4025069	435.8
	"51 years"	"51"	"2019"	"2019"	17198	4004343	429.5
	"51 years"	"51"	"2020"	"2020"	20976	4076434	514.6
	"51 years"	"51"	"2021"	"2021"	24506	4297812	570.2
	"51 years"	"51"	"2022 (provisional)"	"2022"	21023	4297812	489.2
	"51 years"	"51"	"2023 (provisional and partial)"	"2023"	15738	4297812	366.2
"Total"	"51 years"	"51"			116984	24999282	467.9
	"52 years"	"52"	"2018"	"2018"	19504	4094079	476.4
	"52 years"	"52"	"2019"	"2019"	18788	4001782	469.5
	"52 years"	"52"	"2020"	"2020"	22399	3983727	562.3
	"52 years"	"52"	"2021"	"2021"	25787	4136193	623.4
	"52 years"	"52"	"2022 (provisional)"	"2022"	22438	4136193	542.5
	"52 years"	"52"	"2023 (provisional and partial)"	"2023"	17764	4136193	429.5
"Total"	"52 years"	"52"			126680	24488167	517.3
	"53 years"	"53"	"2018"	"2018"	22113	4333375	510.3
	"53 years"	"53"	"2019"	"2019"	20593	4068851	506.1
	"53 years"	"53"	"2020"	"2020"	24222	3979962	608.6
	"53 years"	"53"	"2021"	"2021"	26940	4046823	665.7
	"53 years"	"53"	"2022 (provisional)"	"2022"	23235	4046823	574.2
	"53 years"	"53"	"2023 (provisional and partial)"	"2023"	19089	4046823	471.7
"Total"	"53 years"	"53"			136192	24522657	555.4
	"54 years"	"54"	"2018"	"2018"	24981	4405567	567.0
	"54 years"	"54"	"2019"	"2019"	23924	4305603	555.6
	"54 years"	"54"	"2020"	"2020"	26954	4044734	666.4
	"54 years"	"54"	"2021"	"2021"	29178	4060013	718.7
	"54 years"	"54"	"2022 (provisional)"	"2022"	24718	4060013	608.8
	"54 years"	"54"	"2023 (provisional and partial)"	"2023"	19754	4060013	486.6
"Total"	"54 years"	"54"			149509	24935943	599.6
	"55 years"	"55"	"2018"	"2018"	27310	4393983	621.5
	"55 years"	"55"	"2019"	"2019"	26793	4374565	612.5
	"55 years"	"55"	"2020"	"2020"	30507	4277856	713.1
	"55 years"	"55"	"2021"	"2021"	32093	4119517	779.0
	"55 years"	"55"	"2022 (provisional)"	"2022"	27228	4119517	661.0
	"55 years"	"55"	"2023 (provisional and partial)"	"2023"	20921	4119517	507.9
"Total"	"55 years"	"55"			164852	25404955	648.9
	"56 years"	"56"	"2018"	"2018"	29857	4377130	682.1
	"56 years"	"56"	"2019"	"2019"	28966	4361016	664.2
	"56 years"	"56"	"2020"	"2020"	33814	4343881	778.4
	"56 years"	"56"	"2021"	"2021"	36286	4280217	847.8
	"56 years"	"56"	"2022 (provisional)"	"2022"	29683	4280217	693.5
	"56 years"	"56"	"2023 (provisional and partial)"	"2023"	22531	4280217	526.4
"Total"	"56 years"	"56"			181137	25922678	698.8
	"57 years"	"57"	"2018"	"2018"	32543	4422810	735.8
	"57 years"	"57"	"2019"	"2019"	31658	4342385	729.0
	"57 years"	"57"	"2020"	"2020"	36561	4327862	844.8
	"57 years"	"57"	"2021"	"2021"	39713	4383354	906.0
	"57 years"	"57"	"2022 (provisional)"	"2022"	33514	4383354	764.6
	"57 years"	"57"	"2023 (provisional and partial)"	"2023"	25654	4383354	585.3
"Total"	"57 years"	"57"			199643	26243119	760.7
	"58 years"	"58"	"2018"	"2018"	34611	4453038	777.2
	"58 years"	"58"	"2019"	"2019"	34347	4385570	783.2
	"58 years"	"58"	"2020"	"2020"	39240	4306615	911.2
	"58 years"	"58"	"2021"	"2021"	43036	4384908	981.5
	"58 years"	"58"	"2022 (provisional)"	"2022"	37381	4384908	852.5
	"58 years"	"58"	"2023 (provisional and partial)"	"2023"	28646	4384908	653.3
"Total"	"58 years"	"58"			217261	26299947	826.1
	"59 years"	"59"	"2018"	"2018"	36642	4294024	853.3
	"59 years"	"59"	"2019"	"2019"	36689	4413855	831.2
	"59 years"	"59"	"2020"	"2020"	43106	4346885	991.7
	"59 years"	"59"	"2021"	"2021"	46480	4399318	1056.5
	"59 years"	"59"	"2022 (provisional)"	"2022"	40498	4399318	920.6
